id,hname,City,state,ZIP Code,county,total_amount,year,group
2591,NEWARK BETH ISRAEL MEDICAL CENTER,NEWARK,NJ,7112,ESSEX,22,1,medium
2592,NEWARK-WAYNE COMMUNITY HOSPITAL,NEWARK,NY,14513,WAYNE,21,0,low
2593,NEWBERRY COUNTY MEMORIAL HOSPITAL,NEWBERRY,SC,29108,NEWBERRY,21,0,low
2594,NEWMAN MEMORIAL HOSPITAL,SHATTUCK,OK,73858,ELLIS,20,0,low
2595,NEWMAN REGIONAL HEALTH,EMPORIA,KS,66801,LYON,23,1,medium
2596,NEWPORT COMMUNITY HOSPITAL,NEWPORT,WA,99156,PEND OREILLE,24,1,medium
2597,NEWPORT HOSPITAL,NEWPORT,RI,2840,NEWPORT,20,0,low
2598,NEWTON MEDICAL CENTER,NEWTON,NJ,7860,SUSSEX,20,0,low
2599,NEWTON MEDICAL CENTER,COVINGTON,GA,30014,NEWTON,21,0,low
2600,NEWTON MEDICAL CENTER,NEWTON,KS,67114,HARVEY,22,1,medium
2601,NEWTON-WELLESLEY HOSPITAL,NEWTON,MA,2462,MIDDLESEX,21,0,low
2602,NIAGARA FALLS MEMORIAL MEDICAL CENTER,NIAGARA FALLS,NY,14302,NIAGARA,22,1,medium
2603,NICHOLAS H NOYES MEMORIAL HOSPITAL,DANSVILLE,NY,14437,LIVINGSTON,20,0,low
2604,NIX COMMUNITY GENERAL HOSPITAL,DILLEY,TX,78017,FRIO,20,0,low
2605,NIX HEALTH CARE SYSTEM,SAN ANTONIO,TX,78205,BEXAR,24,1,medium
2606,NOBLE HOSPITAL,WESTFIELD,MA,1085,HAMPDEN,20,0,low
2607,NOCONA GENERAL HOSPITAL,NOCONA,TX,76255,MONTAGUE,21,0,low
2608,NOR-LEA HOSPITAL DISTRICT,LOVINGTON,NM,88260,LEA,28,1,medium
2609,NORMAN REGIONAL HEALTH SYSTEM,NORMAN,OK,73070,CLEVELAND,20,0,low
2610,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,72601,BOONE,22,1,medium
2611,NORTH AUSTIN MEDICAL CENTER,AUSTIN,TX,78758,TRAVIS,20,0,low
2612,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,36507,BALDWIN,20,0,low
2613,NORTH BIG HORN HOSPITAL DISTRICT,LOVELL,WY,82431,BIG HORN,114,1,medium
2614,NORTH CADDO MEDICAL CENTER,VIVIAN,LA,71082,CADDO,94,1,medium
2615,NORTH CANYON MEDICAL CENTER,GOODING,ID,83330,GOODING,56,1,medium
2616,NORTH CAROLINA BAPTIST HOSPITAL,WINSTON-SALEM,NC,27157,FORSYTH,21,0,low
2617,NORTH CAROLINA SPECIALTY HOSPITAL,DURHAM,NC,27704,DURHAM,118,2,high
2618,NORTH CENTRAL BRONX HOSPITAL,BRONX,NY,10467,BRONX,22,1,medium
2619,NORTH CENTRAL SURGICAL CENTER LLP,DALLAS,TX,75231,DALLAS,20,0,low
2620,NORTH CHICAGO VA MEDICAL CENTER,NORTH CHICAGO,IL,60064,LAKE,102,1,medium
2621,NORTH COLORADO MEDICAL CENTER,GREELEY,CO,80631,WELD,20,0,low
2622,NORTH COUNTRY HOSPITAL AND HEALTH CENTER,NEWPORT,VT,5855,ORLEANS,114,1,medium
2623,NORTH CYPRESS MEDICAL CENTER,CYPRESS,TX,77429,HARRIS,20,0,low
2624,NORTH FLORIDA REGIONAL MEDICAL CENTER,GAINESVILLE,FL,32605,ALACHUA,21,0,low
2625,NORTH FULTON HOSPITAL,ROSWELL,GA,30076,FULTON,20,0,low
2626,NORTH GEORGIA MEDICAL CENTER,ELLIJAY,GA,30540,GILMER,23,1,medium
2627,NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,96743,HAWAII,21,0,low
2628,NORTH HILLS HOSPITAL,NORTH RICHLAND HILLS,TX,76180,TARRANT,21,0,low
2629,NORTH KANSAS CITY HOSPITAL,NORTH KANSAS CITY,MO,64116,CLAY,21,0,low
2630,NORTH MEMORIAL MEDICAL CENTER,ROBBINSDALE,MN,55422,HENNEPIN,20,0,low
2631,NORTH METRO MEDICAL CENTER,JACKSONVILLE,AR,72076,PULASKI,23,1,medium
2632,NORTH MISSISSIPPI MEDICAL CENTER,TUPELO,MS,38801,LEE,22,1,medium
2633,NORTH OAK REGIONAL MEDICAL CENTER,SENATOBIA,MS,38668,TATE,24,1,medium
2634,"NORTH OAKS MEDICAL CENTER, L L C",HAMMOND,LA,70403,TANGIPAHOA,20,0,low
2635,NORTH OKALOOSA MEDICAL CENTER,CRESTVIEW,FL,32539,OKALOOSA,21,0,low
2636,NORTH OTTAWA COMMUNITY HEALTH CENTER,GRAND HAVEN,MI,49417,OTTAWA,20,0,low
2637,NORTH SHORE MEDICAL CENTER,SALEM,MA,1970,ESSEX,20,0,low
2638,NORTH SHORE MEDICAL CENTER,MIAMI,FL,33150,MIAMI-DADE,21,0,low
2639,NORTH SHORE UNIVERSITY HOSPITAL,MANHASSET,NY,11030,NASSAU,20,0,low
2640,NORTH SUBURBAN MEDICAL CENTER,THORNTON,CO,80229,ADAMS,20,0,low
2641,NORTH SUNFLOWER MEDICAL CENTER CAH,RULEVILLE,MS,38771,SUNFLOWER,41,1,medium
2642,NORTH TEXAS MEDICAL CENTER,GAINESVILLE,TX,76240,COOKE,22,1,medium
2643,NORTH VALLEY HEALTH CENTER,WARREN,MN,56762,MARSHALL,35,1,medium
2644,NORTH VALLEY HOSPITAL,TONASKET,WA,98855,OKANOGAN,26,1,medium
2645,NORTH VALLEY HOSPITAL,WHITEFISH,MT,59937,FLATHEAD,30,1,medium
2646,NORTH VISTA HOSPITAL,NORTH LAS VEGAS,NV,89030,CLARK,20,0,low
2647,NORTHAMPTON VA MEDICAL CENTER,LEEDS,MA,1053,HAMPSHIRE,101,1,medium
2648,NORTHBAY MEDICAL CENTER,FAIRFIELD,CA,94533,SOLANO,20,0,low
2649,NORTHCREST MEDICAL CENTER,SPRINGFIELD,TN,37172,ROBERTSON,20,0,low
2650,NORTHEAST ALABAMA REGIONAL MED CENTER,ANNISTON,AL,36207,CALHOUN,20,0,low
2651,"NORTHEAST GEORGIA MEDICAL CENTER, INC",GAINESVILLE,GA,30501,HALL,21,0,low
2652,NORTHEAST REGIONAL MEDICAL CENTER,KIRKSVILLE,MO,63501,ADAIR,20,0,low
2653,NORTHEASTERN HEALTH SYSTEM,TAHLEQUAH,OK,74465,CHEROKEE,20,0,low
2654,NORTHEASTERN NEVADA REGIONAL HOSPITAL,ELKO,NV,89801,ELKO,21,0,low
2655,NORTHEASTERN VERMONT REGIONAL HOSPITAL,SAINT JOHNSBURY,VT,5819,CALEDONIA,113,1,medium
2656,NORTHERN COCHISE COMMUNITY HOSPITAL,WILLCOX,AZ,85643,COCHISE,99,1,medium
2657,NORTHERN DUTCHESS HOSPITAL,RHINEBECK,NY,12572,DUTCHESS,20,0,low
2658,NORTHERN HOSPITAL OF SURRY COUNTY,MOUNT AIRY,NC,27030,SURRY,20,0,low
2659,NORTHERN INYO HOSPITAL,BISHOP,CA,93514,INYO,102,1,medium
2660,NORTHERN LOUISIANA MEDICAL CENTER,RUSTON,LA,71270,LINCOLN,20,0,low
2661,NORTHERN MAINE MEDICAL CENTER,FORT KENT,ME,4743,AROOSTOOK,20,0,low
2662,NORTHERN MONTANA HOSPITAL,HAVRE,MT,59501,HILL,22,1,medium
2663,NORTHERN NAVAJO MEDICAL CENTER,SHIPROCK,NM,87420,SAN JUAN,20,0,low
2664,NORTHERN NEVADA MEDICAL CENTER,SPARKS,NV,89434,WASHOE,21,0,low
2665,NORTHERN ROCKIES MEDICAL CENTER,CUT BANK,MT,59427,GLACIER,63,1,medium
2666,NORTHERN WESTCHESTER HOSPITAL,MOUNT KISCO,NY,10549,WESTCHESTER,21,0,low
2667,NORTHFIELD HOSPITAL,NORTHFIELD,MN,55057,DAKOTA,20,0,low
2668,NORTHPORT VA MEDICAL CENTER,NORTHPORT,NY,11768,SUFFOLK,108,1,medium
2669,NORTHRIDGE HOSPITAL MEDICAL CENTER,NORTHRIDGE,CA,91325,LOS ANGELES,20,0,low
2670,NORTHRIDGE MEDICAL CENTER,COMMERCE,GA,30529,JACKSON,22,1,medium
2671,NORTHSIDE HOSPITAL,SAINT PETERSBURG,FL,33709,PINELLAS,20,0,low
2672,NORTHSIDE HOSPITAL,ATLANTA,GA,30342,FULTON,20,0,low
2673,NORTHSIDE HOSPITAL CHEROKEE,CANTON,GA,30114,CHEROKEE,20,0,low
2674,NORTHSIDE HOSPITAL FORSYTH,CUMMING,GA,30041,FORSYTH,20,0,low
2675,NORTHSIDE MEDICAL CENTER,YOUNGSTOWN,OH,44501,MAHONING,23,1,medium
2676,NORTHSIDE MEDICAL CENTER,COLUMBUS,GA,31909,MUSCOGEE,77,1,medium
2677,NORTHWEST COMMUNITY HOSPITAL 1,ARLINGTON HEIGHTS,IL,60005,COOK,20,0,low
2678,NORTHWEST FLORIDA COMMUNITY HOSPITAL,CHIPLEY,FL,32428,WASHINGTON,109,1,medium
2679,NORTHWEST HILLS SURGICAL HOSPITAL,AUSTIN,TX,78731,TRAVIS,20,0,low
2680,NORTHWEST HOSPITAL,SEATTLE,WA,98133,KING,21,0,low
2681,NORTHWEST HOSPITAL CENTER,RANDALLSTOWN,MD,21133,BALTIMORE,22,1,medium
2682,NORTHWEST MEDICAL CENTER,TUCSON,AZ,85741,PIMA,20,0,low
2683,NORTHWEST MEDICAL CENTER,MARGATE,FL,33063,BROWARD,20,0,low
2684,NORTHWEST MEDICAL CENTER,WINFIELD,AL,35594,MARION,21,0,low
2685,NORTHWEST MEDICAL CENTER,ALBANY,MO,64402,GENTRY,37,1,medium
2686,NORTHWEST MEDICAL CENTER-SPRINGDALE,SPRINGDALE,AR,72764,WASHINGTON,23,1,medium
2687,NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,CLARKSDALE,MS,38614,COAHOMA,29,1,medium
2688,NORTHWEST SPECIALTY HOSPITAL,POST FALLS,ID,83854,KOOTENAI,72,1,medium
2689,NORTHWEST SURGICAL HOSPITAL,OKLAHOMA CITY,OK,73120,OKLAHOMA,105,1,medium
2690,NORTHWEST TEXAS HOSPITAL,AMARILLO,TX,79106,POTTER,20,0,low
2691,NORTHWEST TEXAS SURGERY CENTER,AMARILLO,TX,79109,RANDALL,115,2,high
2692,NORTHWESTERN LAKE FOREST HOSPITAL,LAKE FOREST,IL,60045,LAKE,21,0,low
2693,NORTHWESTERN MEDICAL CENTER INC,SAINT ALBANS,VT,5478,FRANKLIN,25,1,medium
2694,NORTHWESTERN MEMORIAL HOSPITAL,CHICAGO,IL,60611,COOK,20,0,low
2695,NORTHWOOD DEACONESS HEALTH CENTER,NORTHWOOD,ND,58267,GRAND FORKS,94,1,medium
2696,NORTON COMMUNITY HOSPITAL,NORTON,VA,24273,NORTON CITY,20,0,low
2697,NORTON COUNTY HOSPITAL,NORTON,KS,67654,NORTON,22,1,medium
2698,NORTON HOSPITAL/NORTON MEDICAL PAVILIONS/KOSAIR CH,LOUISVILLE,KY,40202,JEFFERSON,22,1,medium
2699,NORWALK HOSPITAL ASSOCIATION,NORWALK,CT,6856,FAIRFIELD,20,0,low
2700,NORWEGIAN-AMERICAN HOSPITAL,CHICAGO,IL,60622,COOK,22,1,medium
2701,NORWOOD HOSPITAL,NORWOOD,MA,2062,NORFOLK,20,0,low
2702,NOVANT HEALTH BRUNSWICK MEDICAL CENTER,SUPPLY,NC,28462,BRUNSWICK,20,0,low
2703,NOVANT HEALTH FORSYTH MEDICAL CENTER,WINSTON-SALEM,NC,27103,FORSYTH,20,0,low
2704,NOVANT HEALTH FRANKLIN MEDICAL CENTER,LOUISBURG,NC,27549,FRANKLIN,21,0,low
2705,NOVANT HEALTH GAFFNEY MEDICAL CENTER,GAFFNEY,SC,29340,CHEROKEE,20,0,low
2706,NOVANT HEALTH HAYMARKET MEDICAL CENTER,HAYMARKET,VA,20169,PRINCE WILLIAM,24,1,medium
2707,NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,HUNTERSVILLE,NC,28078,MECKLENBURG,20,0,low
2708,NOVANT HEALTH MEDICAL PARK HOSPITAL,WINSTON-SALEM,NC,27103,FORSYTH,117,2,high
2709,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,CHARLOTTE,NC,28233,MECKLENBURG,21,0,low
2710,NOVANT HEALTH PRINCE WILLIAM MEDICAL CENTER,MANASSAS,VA,20110,MANASSAS CITY,21,0,low
2711,NOVANT HEALTH ROWAN MEDICAL CENTER,SALISBURY,NC,28144,ROWAN,20,0,low
2712,NOVANT HEALTH THOMASVILLE MEDICAL CENTER,THOMASVILLE,NC,27360,DAVIDSON,20,0,low
2713,NOVATO COMMUNITY HOSPITAL,NOVATO,CA,94945,MARIN,21,0,low
2714,NYACK HOSPITAL,NYACK,NY,10960,ROCKLAND,20,0,low
2715,NYU HOSPITALS CENTER,NEW YORK,NY,10016,NEW YORK,20,0,low
2716,O U MEDICAL CENTER,OKLAHOMA CITY,OK,73104,OKLAHOMA,20,0,low
2717,O.A.S.I.S. HOSPITAL,PHOENIX,AZ,85008,MARICOPA,61,1,medium
2718,OAK HILL HOSPITAL,BROOKSVILLE,FL,34613,HERNANDO,20,0,low
2719,OAK VALLEY DISTRICT HOSPITAL,OAKDALE,CA,95361,STANISLAUS,21,0,low
2720,OAKBEND MEDICAL CENTER,RICHMOND,TX,77469,FORT BEND,20,0,low
2721,OAKDALE COMMUNITY HOSPITAL,OAKDALE,LA,71463,ALLEN,22,1,medium
2722,OAKES COMMUNITY HOSPITAL,OAKES,ND,58474,DICKEY,35,1,medium
2723,OAKLAND REGIONAL HOSPITAL,SOUTHFIELD,MI,48075,OAKLAND,94,1,medium
2724,OAKLAWN HOSPITAL,MARSHALL,MI,49068,CALHOUN,21,0,low
2725,OAKLEAF SURGICAL HOSPITAL,ALTOONA,WI,54720,EAU CLAIRE,113,1,medium
2726,OAKWOOD HOSPITAL - DEARBORN,DEARBORN,MI,48124,WAYNE,21,0,low
2727,OAKWOOD HOSPITAL - SOUTHSHORE,TRENTON,MI,48183,WAYNE,20,0,low
2728,OAKWOOD HOSPITAL - TAYLOR,TAYLOR,MI,48180,WAYNE,24,1,medium
2729,OAKWOOD HOSPITAL - WAYNE,WAYNE,MI,48184,WAYNE,20,0,low
2730,OCALA REGIONAL MEDICAL CENTER,OCALA,FL,34478,MARION,20,0,low
2731,OCEAN BEACH HOSPITAL,ILWACO,WA,98624,PACIFIC,62,1,medium
2732,OCEAN MEDICAL CENTER,BRICK,NJ,8724,OCEAN,21,0,low
2733,OCH REGIONAL MEDICAL CENTER,STARKVILLE,MS,39759,OKTIBBEHA,22,1,medium
2734,OCHSNER MEDICAL CENTER,NEW ORLEANS,LA,70121,JEFFERSON,23,1,medium
2735,OCHSNER MEDICAL CENTER - BATON ROUGE,BATON ROUGE,LA,70816,EAST BATON ROUGE,21,0,low
2736,"OCHSNER MEDICAL CENTER - NORTHSHORE, L L C",SLIDELL,LA,70461,SAINT TAMMANY,21,0,low
2737,OCHSNER MEDICAL CENTER-KENNER LLC,KENNER,LA,70065,JEFFERSON,21,0,low
2738,OCHSNER ST ANNE GENERAL HOSPITAL,RACELAND,LA,70394,LAFOURCHE,21,0,low
2739,OCONEE REGIONAL MEDICAL CENTER,MILLEDGEVILLE,GA,31061,BALDWIN,20,0,low
2740,OCONNOR HOSPITAL,SAN JOSE,CA,95128,SANTA CLARA,22,1,medium
2741,OCONNOR HOSPITAL,DELHI,NY,13753,DELAWARE,22,1,medium
2742,OCONOMOWOC MEMORIAL HOSPITAL,OCONOMOWOC,WI,53066,WAUKESHA,20,0,low
2743,ODESSA REGIONAL HOSPITAL,ODESSA,TX,79761,ECTOR,24,1,medium
2744,OGALLALA COMMUNITY HOSPITAL,OGALLALA,NE,69153,KEITH,20,0,low
2745,OGDEN REGIONAL MEDICAL CENTER,OGDEN,UT,84405,WEBER,20,0,low
2746,OHIO COUNTY HOSPITAL,HARTFORD,KY,42347,OHIO,105,1,medium
2747,OHIO STATE UNIVERSITY HOSPITALS,COLUMBUS,OH,43210,FRANKLIN,23,1,medium
2748,OHIO VALLEY GENERAL HOSPITAL,MCKEES ROCKS,PA,15136,ALLEGHENY,20,0,low
2749,OHIO VALLEY MEDICAL CENTER,WHEELING,WV,26003,OHIO,21,0,low
2750,"OHIO VALLEY MEDICAL CENTER, LLC",SPRINGFIELD,OH,45502,CLARK,109,1,medium
2751,OHIOHEALTH OBLENESS HOSPITAL,ATHENS,OH,45701,ATHENS,22,1,medium
2752,OHSU HOSPITAL AND CLINICS,PORTLAND,OR,97239,MULTNOMAH,20,0,low
2753,OJAI VALLEY COMMUNITY HOSPITAL,OJAI,CA,93023,VENTURA,105,1,medium
2754,OKEENE MUNICIPAL HOSPITAL,OKEENE,OK,73763,BLAINE,20,0,low
2755,OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SP,OKLAHOMA CITY,OK,73139,CLEVELAND,100,1,medium
2756,OKLAHOMA CITY VA MEDICAL CENTER,OKLAHOMA CITY,OK,73104,OKLAHOMA,104,1,medium
2757,OKLAHOMA HEART HOSPITAL,OKLAHOMA CITY,OK,73120,OKLAHOMA,20,0,low
2758,OKLAHOMA HEART HOSPITAL SOUTH,OKLAHOMA CITY,OK,73135,OKLAHOMA,20,0,low
2759,OKLAHOMA SPINE HOSPITAL,OKLAHOMA CITY,OK,73134,OKLAHOMA,86,1,medium
2760,OKLAHOMA STATE UNIVERSITY MEDICAL CENTER,TULSA,OK,74127,OSAGE,20,0,low
2761,"OKLAHOMA SURGICAL HOSPITAL, LLC",TULSA,OK,74137,TULSA,20,0,low
2762,OLATHE MEDICAL CENTER,OLATHE,KS,66061,JOHNSON,21,0,low
2763,OLEAN GENERAL HOSPITAL,OLEAN,NY,14760,CATTARAUGUS,21,0,low
2764,OLMSTED MEDICAL CENTER,ROCHESTER,MN,55904,OLMSTED,20,0,low
2765,OLYMPIA MEDICAL CENTER,LOS ANGELES,CA,90036,LOS ANGELES,20,0,low
2766,OLYMPIC MEDICAL CENTER,PORT ANGELES,WA,98362,CLALLAM,20,0,low
2767,OMAHA VA MEDICAL CENTER - VA NEBRASKA WESTERN IOWA,OMAHA,NE,68105,DOUGLAS,86,1,medium
2768,ONECORE HEALTH,OKLAHOMA CITY,OK,73109,OKLAHOMA,99,1,medium
2769,ONEIDA HEALTHCARE CENTER,ONEIDA,NY,13421,MADISON,21,0,low
2770,OPELOUSAS GENERAL HEALTH SYSTEM,OPELOUSAS,LA,70570,SAINT LANDRY,23,1,medium
2771,ORANGE CITY AREA HEALTH SYSTEM,ORANGE CITY,IA,51041,SIOUX,104,1,medium
2772,ORANGE COAST MEMORIAL MEDICAL CENTER,FOUNTAIN VALLEY,CA,92708,ORANGE,20,0,low
2773,ORANGE COUNTY GLOBAL MEDICAL CENTER,SANTA ANA,CA,92705,ORANGE,21,0,low
2774,ORANGE PARK MEDICAL CENTER,ORANGE PARK,FL,32073,CLAY,20,0,low
2775,ORANGE REGIONAL MEDICAL CENTER,MIDDLETOWN,NY,10940,ORANGE,20,0,low
2776,ORCHARD HOSPITAL,GRIDLEY,CA,95948,BUTTE,22,1,medium
2777,OREM COMMUNITY HOSPITAL,OREM,UT,84057,UTAH,20,0,low
2778,ORLANDO HEALTH,ORLANDO,FL,32806,ORANGE,21,0,low
2779,ORO VALLEY HOSPITAL,ORO VALLEY,AZ,85755,PIMA,20,0,low
2780,OROVILLE HOSPITAL,OROVILLE,CA,95966,BUTTE,23,1,medium
2781,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS,LAKEWOOD,CO,80228,JEFFERSON,104,1,medium
2782,ORTHOINDY HOSPITAL,INDIANAPOLIS,IN,46278,MARION,78,1,medium
2783,ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,FORT WAYNE,IN,46845,ALLEN,89,1,medium
2784,ORTHOPAEDIC HOSPITAL OF WISCONSIN,GLENDALE,WI,53212,MILWAUKEE,115,2,high
2785,ORTONVILLE AREA HEALTH SERVICES,ORTONVILLE,MN,56278,BIG STONE,20,0,low
2786,OSBORNE COUNTY MEMORIAL HOSPITAL,OSBORNE,KS,67473,OSBORNE,30,1,medium
2787,OSCEOLA REGIONAL MEDICAL CENTER,KISSIMMEE,FL,34741,OSCEOLA,20,0,low
2788,OSF HOLY FAMILY MEDICAL CENTER,MONMOUTH,IL,61462,WARREN,37,1,medium
2789,OSF SAINT ANTHONYS HEALTH CENTER,ALTON,IL,62002,MADISON,20,0,low
2790,OSF SAINT LUKES MEDICAL CENTER,KEWANEE,IL,61443,HENRY,68,1,medium
2791,OSF SAINT PAUL MEDICAL CENTER,MENDOTA,IL,61342,LA SALLE,21,0,low
2792,OSS ORTHOPAEDIC HOSPITAL,YORK,PA,17402,YORK,112,1,medium
2793,OSWEGO COMMUNITY HOSPITAL,OSWEGO,KS,67356,LABETTE,87,1,medium
2794,OSWEGO HOSPITAL,OSWEGO,NY,13126,OSWEGO,23,1,medium
2795,OTSEGO MEMORIAL HOSPITAL,GAYLORD,MI,49735,OTSEGO,20,0,low
2796,OTTAWA COUNTY HEALTH CENTER,MINNEAPOLIS,KS,67467,OTTAWA,28,1,medium
2797,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,OTTAWA,IL,61350,LA SALLE,20,0,low
2798,OTTO KAISER MEMORIAL HOSPITAL,KENEDY,TX,78119,KARNES,25,1,medium
2799,OTTUMWA REGIONAL HEALTH CENTER,OTTUMWA,IA,52501,WAPELLO,20,0,low
2800,OUACHITA COMMUNITY HOSPITAL,WEST MONROE,LA,71291,OUACHITA,68,1,medium
2801,OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,71701,OUACHITA,24,1,medium
2802,OUR LADY OF BELLEFONTE HOSPITAL,ASHLAND,KY,41101,BOYD,22,1,medium
2803,OUR LADY OF FATIMA HOSPITAL,NORTH PROVIDENCE,RI,2904,PROVIDENCE,21,0,low
2804,OUR LADY OF LOURDES MEDICAL CENTER,CAMDEN,NJ,8103,CAMDEN,20,0,low
2805,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",BINGHAMTON,NY,13905,BROOME,20,0,low
2806,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",LAFAYETTE,LA,70508,LAFAYETTE,20,0,low
2807,OUR LADY OF THE ANGELS HOSPITAL,BOGALUSA,LA,70427,WASHINGTON,117,2,high
2808,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,BATON ROUGE,LA,70808,EAST BATON ROUGE,22,1,medium
2809,OUR LADY OF VICTORY HOSPITAL,STANLEY,WI,54768,CHIPPEWA,30,1,medium
2810,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,WA,98004,KING,20,0,low
2811,OVERLAND PARK REG MED CTR,OVERLAND PARK,KS,66215,JOHNSON,20,0,low
2812,OVERLOOK MEDICAL CENTER,SUMMIT,NJ,7902,UNION,20,0,low
2813,OVERTON BROOKS VA MEDICAL CENTER - SHREVEPORT,SHREVEPORT,LA,71101,CADDO,112,1,medium
2814,OWATONNA HOSPITAL,OWATONNA,MN,55060,STEELE,21,0,low
2815,OWENSBORO HEALTH REGIONAL HOSPITAL,OWENSBORO,KY,42303,DAVIESS,21,0,low
2816,OZARK HEALTH,CLINTON,AR,72031,VAN BUREN,21,0,low
2817,OZARKS COMMUNITY HOSPITAL,SPRINGFIELD,MO,65803,GREENE,23,1,medium
2818,OZARKS COMMUNITY HOSPITAL OF GRAVETTE,GRAVETTE,AR,72736,BENTON,27,1,medium
2819,OZARKS MEDICAL CENTER,WEST PLAINS,MO,65775,HOWELL,22,1,medium
2820,P & S SURGICAL HOSPITAL,MONROE,LA,71201,OUACHITA,77,1,medium
2821,P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,BELCOURT,ND,58316,ROLETTE,20,0,low
2822,P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET,BROWNING,MT,59417,GLACIER,20,0,low
2823,PACIFIC ALLIANCE MEDICAL CENTER,LOS ANGELES,CA,90012,LOS ANGELES,21,0,low
2824,PACIFICA HOSPITAL OF THE VALLEY,SUN VALLEY,CA,91352,LOS ANGELES,26,1,medium
2825,PAGE HOSPITAL,PAGE,AZ,86040,COCONINO,21,0,low
2826,"PAGE MEMORIAL HOSPITAL, INC",LURAY,VA,22835,PAGE,100,1,medium
2827,PAGOSA SPRINGS MEDICAL CENTER,PAGOSA SPRINGS,CO,81147,ARCHULETA,105,1,medium
2828,PALESTINE REGIONAL MEDICAL CENTER,PALESTINE,TX,75801,ANDERSON,22,1,medium
2829,PALI MOMI MEDICAL CENTER,AIEA,HI,96701,HONOLULU,20,0,low
2830,PALISADES MEDICAL CENTER,NORTH BERGEN,NJ,7047,HUDSON,20,0,low
2831,PALM BAY HOSPITAL,PALM BAY,FL,32907,BREVARD,20,0,low
2832,PALM BEACH GARDENS MEDICAL CENTER,PALM BEACH GARDENS,FL,33410,PALM BEACH,20,0,low
2833,PALM SPRINGS GENERAL HOSPITAL,HIALEAH,FL,33012,MIAMI-DADE,22,1,medium
2834,PALMDALE REGIONAL MEDICAL CENTER,PALMDALE,CA,93552,LOS ANGELES,23,1,medium
2835,PALMER LUTHERAN HEALTH CENTER,WEST UNION,IA,52175,FAYETTE,111,1,medium
2836,PALMERTON HOSPITAL,PALMERTON,PA,18071,CARBON,21,0,low
2837,PALMETTO GENERAL HOSPITAL,HIALEAH,FL,33016,MIAMI-DADE,22,1,medium
2838,PALMETTO HEALTH BAPTIST,COLUMBIA,SC,29220,RICHLAND,22,1,medium
2839,PALMETTO HEALTH BAPTIST PARKRIDGE,COLUMBIA,SC,29212,LEXINGTON,25,1,medium
2840,PALMETTO HEALTH RICHLAND,COLUMBIA,SC,29203,RICHLAND,23,1,medium
2841,PALMS OF PASADENA HOSPITAL,SAINT PETERSBURG,FL,33707,PINELLAS,21,0,low
2842,PALMS WEST HOSPITAL,LOXAHATCHEE,FL,33470,PALM BEACH,20,0,low
2843,PALO ALTO VA MEDICAL CENTER,PALO ALTO,CA,94304,SANTA CLARA,115,2,high
2844,PALO PINTO GENERAL HOSPITAL,MINERAL WELLS,TX,76067,PALO PINTO,20,0,low
2845,PALO VERDE HOSPITAL,BLYTHE,CA,92225,RIVERSIDE,22,1,medium
2846,PALOMAR HEALTH DOWNTOWN CAMPUS,ESCONDIDO,CA,92025,SAN DIEGO,20,0,low
2847,PALOS COMMUNITY HOSPITAL,PALOS HEIGHTS,IL,60463,COOK,20,0,low
2848,PAMPA REGIONAL MEDICAL CENTER,PAMPA,TX,79065,GRAY,20,0,low
2849,PANA COMMUNITY HOSPITAL,PANA,IL,62557,CHRISTIAN,118,2,high
2850,PARADISE VALLEY HOSPITAL,NATIONAL CITY,CA,91950,SAN DIEGO,21,0,low
2851,PARIS COMMUNITY HOSPITAL,PARIS,IL,61944,EDGAR,92,1,medium
2852,PARIS REGIONAL MEDICAL CENTER,PARIS,TX,75460,LAMAR,20,0,low
2853,PARK CITY MEDICAL CENTER,PARK CITY,UT,84060,SUMMIT,20,0,low
2854,PARK NICOLLET METHODIST HOSPITAL,SAINT LOUIS PARK,MN,55426,HENNEPIN,20,0,low
2855,PARK PLACE SURGICAL HOSPITAL,LAFAYETTE,LA,70508,LAFAYETTE,78,1,medium
2856,PARK PLAZA HOSPITAL,HOUSTON,TX,77004,HARRIS,20,0,low
2857,PARK RIDGE HEALTH,HENDERSONVILLE,NC,28792,HENDERSON,22,1,medium
2858,PARKER ADVENTIST HOSPITAL,PARKER,CO,80138,DOUGLAS,21,0,low
2859,PARKLAND HEALTH AND HOSPITAL SYSTEM,DALLAS,TX,75235,DALLAS,21,0,low
